location,latitude,longitude,date,total_vaccinations,people_vaccinated,population
Argentina,-38.416097,-63.616672,6/27/21,19749468,15831632,45195777
Aruba,12.52111,-69.968338,6/27/21,125290,67278,106766
Australia,-25.274398,133.775136,6/27/21,7326320,6114522,25499881
Azerbaijan,40.143105,47.576927,6/27/21,3348427,2138684,10139175
Bahrain,25.930414,50.637772,6/27/21,2027964,1052795,1701583
Brazil,-14.235004,-51.92528,6/27/21,96804664,71206835,212559409
Bulgaria,42.733883,25.48583,6/27/21,1727616,941280,6948445
Cambodia,12.565679,104.990963,6/27/21,6836447,3955033,16718971
Canada,56.130366,-106.346771,6/27/21,35495821,25525737,37742157
China,35.86166,104.195397,6/27/21,1185787000,,1439323774
Curacao,12.1696,68.99,6/27/21,166466,88553,164100
Czechia,49.817492,15.472962,6/27/21,7890961,4963242,10708982
Estonia,58.595272,25.013607,6/27/21,931260,553363,1326539
Ethiopia,9.145,40.489673,6/27/21,1989297,,114963583
Germany,51.165691,10.451526,6/27/21,72153878,44608624,83783945
Greece,39.074208,21.824312,6/27/21,8098959,4728534,10423056
Hong Kong,22.396428,114.109497,6/27/21,3561376,2150317,7496988
India,20.593684,78.96288,6/27/21,318030412,262916313,1380004385
Indonesia,-0.789275,113.921327,6/27/21,40315983,27200222,273523621
Israel,31.046051,34.851612,6/27/21,10701509,5543923,8655541
Italy,41.87194,12.56738,6/27/21,49890945,33322097,60461828
Japan,36.204824,138.252924,6/27/21,40177951,27175489,126476458
Jordan,30.585164,36.238414,6/27/21,3522719,2316516,10203140
Kazakhstan,48.019573,66.923684,6/27/21,5021117,3130095,18776707
Latvia,56.879635,24.603189,6/27/21,1101405,643763,1886202
Lebanon,33.854721,35.862285,6/27/21,1253918,852887,6825442
Lithuania,55.169438,23.881275,6/27/21,2215193,1228009,2722291
Macao,22.198745,113.543873,6/27/21,325418,228119,649342
Mongolia,46.862496,103.846656,6/27/21,3682742,1956403,3278292
Montenegro,42.708678,19.37439,6/27/21,285858,149994,628062
Nepal,28.394857,84.124008,6/27/21,3333921,2583790,29136808
Netherlands,52.132633,5.291266,6/27/21,14323814,9319051,17134873
Palestine,31.9522,35.2332,6/27/21,824170,482695,5101416
Philippines,12.879721,121.774017,6/27/21,10065414,7538128,109581085
Poland,51.919438,19.145136,6/27/21,28447379,16681699,37846605
Portugal,39.399872,-8.224454,6/27/21,8203905,5348748,10196707
Qatar,25.354826,51.183884,6/27/21,3041661,1676351,2881060
Russia,61.52401,105.318756,6/27/21,38440164,21614318,145934460
Saint Lucia,13.9094,60.9789,6/27/21,52355,30623,183629
Saudi Arabia,23.885942,45.079162,6/27/21,17339253,,34813867
Slovenia,46.151241,14.995463,6/27/21,1458834,814441,2078932
South Korea,35.907757,127.766922,6/27/21,18807776,15290302,51269183
Suriname,3.919305,-56.027783,6/27/21,191963,157459,586634
Taiwan,23.69781,120.960515,6/27/21,1926973,1890292,23816775
Trinidad and Tobago,10.691803,-61.222503,6/27/21,275675,204249,1399491
Turkey,38.963745,35.243322,6/27/21,47773102,32857375,84339067
Ukraine,48.379433,31.16558,6/27/21,2484766,1904878,43733759
United Arab Emirates,23.424076,53.847818,6/27/21,15073743,,9890400
United States,37.09024,-95.712891,6/27/21,323327328,179261269,331002647
Vietnam,14.058324,108.277199,6/27/21,3386607,3229471,97338583
Zambia,-13.133897,27.849332,6/27/21,151205,142125,18383956
